Clean Development Mechanism::SYN::CDM,F 895         
Scientific and Technological Advice,F 49          
GHG emissions,F 58          
training and public awareness,F 37          
AND MITIGATION,F 58          
LDC Fund::SYN::least developed countries Fund,F 57          
indigenous peoples,F 57          
Chair Dovland,F 57          
global climate,F 57          
COP-6 Part II,F 36          
World Meteorological Organization::SYN::WMO,F 36          
financial and technical support,F 36          
WAS HELD,F 57          
effects of climate,F 56          
AWG-KP Chair,F 57          
REPORTING AND,F 57          
developed country Parties,F 35          
expert review teams::SYN::ERTs,F 35          
SBI adopted conclusions,F 33          
Chair Ashe,F 53          
market mechanisms,F 53          
MARSHALL ISLANDS,F 53          
impacts of response measures,F 34          
carbon dioxide capture and storage,F 27          
voluntary commitments,F 53          
OPENING STATEMENTS,F 52          
long-term finance::SYN::LTF,F 52          
Chair Zammit Cutajar,F 34          
Least Developed,F 52          
CLIMATE ACTION,F 52          
UN Framework Convention on Climate,F 26          
share of proceeds,F 51          
energy efficiency,F 51          
greenhouse gas concentrations,F 32          
informal discussions,F 50          
further consideration,F 50          
forest management,F 50          
Resource Allocation Framework::SYN::RAF,F 33          
adverse effects of climate,F 31          
implementation of UNFCCC Article,F 31          
Parties also discussed,F 31          
Clean Development,F 48          
bunker fuels,F 48          
cooperative action,F 49          
SBSTA adopted conclusions,F 29          
industrialized countries,F 47          
public awareness,F 47          
carbon capture and storage,F 30          
Technological Advice,F 52          
WAY FORWARD,F 45          
bracketed text,F 46          
communication of information,F 46          
project activities,F 46          
COOPERATION WITH RELEVANT,F 28          
administrative and financial matters,F 29          
environmentally sound technologies::SYN::ESTs,F 29          
climate change impacts,F 29          
mitigation actions,F 46          
national circumstances,F 45          
Annex I national communications,F 23          
relevant international organizations,F 29          
climate impacts,F 44          
adaptation plans,F 44          
Intergovernmental Panel on Climate,F 27          
non-Annex I countries,F 28          
Special Report,F 44          
Special Climate,F 43          
enforcement branch,F 43          
Berlin Mandate,F 46          
contact group meeting,F 27          
reducing emissions,F 43          
AND ACCOUNTING,F 42          
implementation of decision,F 43          
programme budget,F 42          
urged parties,F 42          
capacity building in developing countries,F 22          
FCCC Articles,F 42          
reducing emissions from deforestation,F 28          
JAPAN said,F 40          
Marrakesh Accords,F 41          
United Nations Development Programme::SYN::UNDP,F 20          
future commitments,F 41          
enabling environments,F 41          
COP plenary::SYN::Conference of Parties plenary,F 41          
technical support,F 41          
FINANCIAL AND INSTITUTIONAL MATTERS,F 25          
afternoon informal consultations,F 26          
aviation and maritime transport,F 26          
Chair Stoycheva,F 40          
financial issues,F 40          
small island,F 46          
heads of delegation,F 40          
Interim Secretariat,F 40          
John Ashe,F 40          
multilateral consultative process::SYN::MCP,F 24          
cooperation with relevant international organizations,F 22          
expressed disappointment,F 38          
financial matters,F 39          
Protocol amendments,F 39          
country mitigation,F 39          
LONG-TERM COOPERATIVE,F 46          
co-chair a contact,F 38          
World Bank,F 38          
synthesis report,F 38          
observing systems,F 38          
Chair Thorgeirsson,F 39          
Executive Secretary Michael Zammit Cutajar,F 17          
informal high-level Plenary,F 24          
Expert Group on Technology Transfer,F 19          
exchanged views,F 36          
Annex II,F 37          
distribution of CDM projects::SYN::distribution of Clean Development Mechanism projects,F 24          
communications from Annex I Parties,F 19          
carry-over of surplus AAUs::SYN::carry-over of surplus Assigned Amount Units,F 24          
emissions from deforestation,F 38          
United Nations,F 40          
potential consequences,F 37          
UNFCCC implementation,F 36          
invited parties,F 36          
Climate Observing System,F 23          
revised draft text,F 23          
Plenary session,F 36          
impacts of response,F 36          
COP-6 President,F 35          
Development Mechanism,F 35          
technology mechanism,F 35          
sectoral approaches,F 35          
deforestation in developing countries,F 22          
emission reduction commitments,F 22          
Montreal Protocol,F 35          
Supervisory Committee,F 37          
domestic action,F 34          
political issues,F 34          
reduction commitments,F 34          
technical issues,F 34          
communications from non-Annex I Parties,F 18          
climate finance,F 34          
compliance system,F 34          
Bali roadmap,F 34          
Memorandum of Understanding::SYN::MoU,F 34          
legally-binding agreement,F 34          
IPCC Special Report,F 23          
AND GUIDANCE,F 32          
flexible mechanisms,F 33          
further consultations,F 33          
informal meetings,F 33          
technical paper,F 33          
Michael Zammit,F 33          
national adaptation programmes of action,F 17          
reaching agreement,F 33          
operating entity,F 34          
small island developing States,F 17          
LIKE-MINDED DEVELOPING COUNTRIES::SYN::LMDC,F 20          
UNITED ARAB EMIRATES,F 21          
developing country needs,F 21          
morning informal consultations,F 21          
Annex II Parties,F 21          
UN Secretary-General,F 33          
joint SBI,F 33          
National Greenhouse Gas Inventories,F 17          
climate system,F 32          
election of officers,F 32          
quantified emission,F 32          
LULUCF activities,F 32          
legally-binding instrument,F 32          
decision on capacity building,F 21          
global emissions,F 32          
developing country mitigation,F 22          
initial national communications,F 22          
COP-6 President Pronk,F 20          
Fourth Assessment Report,F 20          
implementation of Protocol Article,F 19          
technology and capacity building,F 20          
third national communications,F 20          
INFORMAL HIGH-LEVEL,F 31          
UNFCCC process,F 31          
consultative process,F 31          
emission limitation,F 31          
emissions of six greenhouse gases,F 15          
first meeting,F 31          
quantified emission limitation and reduction,F 16          
CO2 emissions,F 31          
operational details,F 32          
Secretary Michael Zammit Cutajar,F 16          
stocktaking plenary,F 31          
adverse impacts,F 31          
Chair text,F 30          
LDC Expert::SYN::least developed countries Expert,F 30          
SBSTA conclusions,F 30          
draft rules,F 30          
host country,F 30          
transaction log,F 29          
Prime Minister,F 30          
technology development,F 30          
common reporting format::SYN::CRF,F 19          
emission limitation and reduction,F 19          
global warming potentials::SYN::GWPs,F 19          
annual report,F 30          
ministers and heads of delegation,F 19          
Annex I commitments,F 19          
national greenhouse gas,F 19          
Bonn Agreements,F 29          
evening session,F 29          
vulnerable countries,F 29          
taking place,F 29          
closing plenary,F 29          
existing commitments,F 29          
divergent views,F 29          
COP President Special Representative Hedegaard::SYN::Conference of Parties President Special Representative Hedegaard,F 12          
maritime transport,F 29          
COP Presidency::SYN::Conference of Parties Presidency,F 29          
technology needs,F 29          
surplus AAUs::SYN::surplus Assigned Amount Units,F 29          
fourth national communications,F 19          
Executive Secretary Michael Zammit,F 15          
national systems,F 29          
needs assessment,F 29          
draft decision on capacity building,F 16          
draft protocol,F 29          
Adaptation Committee,F 28          
emissions targets,F 28          
fossil fuel,F 28          
COP President Hedegaard::SYN::Conference of Parties President Hedegaard,F 17          
revised draft decision,F 18          
clearing house,F 28          
Natural Resources,F 28          
demonstrable progress,F 28          
national communications from Annex,F 18          
carry-over of surplus,F 28          
developed country mitigation,F 18          
implementation of Article,F 28          
China proposal,F 28          
informal stocktaking plenary,F 18          
Harald Dovland,F 28          
Annex I Parties commitments,F 14          
IPCC Third Assessment Report,F 13          
Joint Working Group on Compliance,F 13          
Protocol under Article,F 26          
SBI conclusions,F 27          
accounting rules,F 27          
CDM EB::SYN::Clean Development Mechanism Executive Board,F 27          
reporting guidelines,F 27          
economic diversification,F 27          
parties views,F 27          
UNFCCC Executive Secretary Christiana Figueres,F 11          
global goal,F 27          
draft negotiating text,F 17          
draft rules of procedure,F 17          
effects of policies and measures,F 16          
extreme weather events,F 17          
quantified emission limitation,F 17          
technology needs assessments::SYN::TNAs,F 16          
means of implementation,F 27          
Environment Minister,F 26          
Monday morning,F 26          
expressed willingness,F 26          
institutional linkages,F 26          
mitigation potential,F 26          
compliance mechanism,F 26          
wood products,F 26          
SBSTA contact,F 26          
exchange of views,F 26          
technical and financial support,F 17          
high-level Plenary,F 26          
nationally appropriate mitigation,F 17          
Annex B parties,F 17          
long-term global goal,F 17          
carbon markets,F 25          
emission limitation and reduction objectives,F 13          
provisional agenda,F 25          
technology transfer and capacity building,F 13          
information exchange,F 25          
political will,F 25          
Ministerial Segment,F 25          
proposed text,F 25          
reference levels,F 25          
adaptation measures,F 25          
Civil Aviation Organization,F 17          
designated operational entities::SYN::DOEs,F 16          
implementation of response measures,F 15          
AOSIS protocol::SYN::Alliance of Small Island States protocol,F 25          
adaptation programmes,F 26          
carbon dioxide emissions,F 16          
Chair John Ashe,F 16          
atmospheric concentrations of greenhouse gases,F 19          
capacity-building activities,F 24          
facilitative branch,F 23          
food security,F 24          
intergovernmental meetings,F 24          
introduced draft,F 24          
guidelines under Protocol Articles,F 17          
operational entities,F 24          
direct access,F 24          
temperature increase,F 24          
eligibility criteria,F 24          
regional distribution,F 24          
response to climate,F 25          
MITIGATION BY DEVELOPING,F 14          
SBSTA Chair Muyungi,F 14          
basket of methodological issues,F 14          
criteria for joint implementation,F 15          
developing country delegate,F 14          
small island developing,F 15          
technical advisory panels::SYN::TAPs,F 15          
Co-Chair Estrada,F 22          
Commitments for Annex I Parties,F 13          
DEFORESTATION IN DEVELOPING,F 22          
Democratic Republic,F 22          
EMISSIONS FROM DEFORESTATION IN DEVELOPING,F 11          
GEF Council::SYN::Global Environment Facility Council,F 23          
JI projects::SYN::joint implementation projects,F 23          
UN Secretary-General Ban Ki-moon,F 12          
capacity building and technology transfer,F 12          
expressed support,F 23          
good practice guidance on LULUCF,F 11          
historical responsibility,F 23          
intellectual property,F 23          
commitment period reserve,F 15          
mitigation efforts,F 23          
country commitments,F 23          
key elements,F 23          
informal informal consultations,F 15          
BURKINA FASO,F 22          
EU proposal::SYN::EUROPEAN UNION proposal,F 22          
GHG inventories,F 22          
IISD coverage,F 21          
fast-start finance,F 22          
general framework,F 22          
Climate Fund,F 22          
budget performance,F 22          
communications from Annex,F 22          
UN bodies,F 22          
draft proposal,F 22          
COALITION FOR RAINFOREST NATIONS,F 13          
Climate Change and Sustainable,F 14          
Kok Kee Chow,F 14          
Working Group II,F 14          
arrangements for intergovernmental meetings,F 14          
commitments for developing countries,F 14          
draft SBI conclusions,F 14          
draft SBSTA conclusions,F 14          
political response to climate,F 13          
revised draft conclusions,F 14          
adaptation activities,F 22          
developing country commitments,F 14          
Commitments for Annex,F 22          
quantified emission reduction,F 14          
Secretary Michael Zammit,F 14          
de Boer,F 23          
CENTRAL AFRICAN REPUBLIC,F 14          
INFORMAL MINISTERIAL,F 21          
Nairobi work programme on impacts,F 10          
Russian proposal,F 22          
World Summit on Sustainable Development,F 10          
adaptation projects,F 21          
climate change and sustainable development,F 11          
compliance regime,F 21          
cross-cutting issues,F 21          
harvested wood,F 21          
legal instrument,F 22          
registry systems,F 22          
weather events,F 21          
standardized baselines,F 21          
cleaner energy,F 21          
poverty eradication,F 21          
economic growth,F 21          
framework for action,F 21          
Parties Further Commitments,F 14          
adaptation and response measures,F 20          
major economies,F 21          
open-ended consultations,F 21          
Kishan Kumarsingh,F 21          
communications from non-Annex,F 21          
building blocks,F 21          
Heads of State,F 21          
mitigation by developing countries,F 14          
carbon sinks,F 21          
programme of work on adaptation,F 23          
UN Climate,F 21          
CHINA and SAUDI ARABIA,F 12          
COP President Espinosa::SYN::Conference of Parties President Espinosa,F 12          
contact group on mechanisms,F 12          
dangerous anthropogenic interference,F 12          
developing country concerns,F 13          
emissions trading system,F 12          
implementation of FCCC Articles,F 13          
implementation of activities under decision,F 13          
requested more time,F 12          
rules and operational details,F 14          
COOK ISLANDS,F 19          
Chair Becker,F 19          
Combat Desertification,F 20          
Protocol Implementation,F 20          
Saint Lucia,F 19          
Standing Committee,F 20          
first session,F 20          
market economy,F 19          
mitigation commitments,F 20          
reporting format,F 20          
Protocol Annex,F 20          
unresolved issues,F 20          
Civil Aviation,F 20          
inventory data,F 20          
informal stocktaking,F 20          
United Nations Industrial Development Organization::SYN::UNIDO,F 8           
MOP President,F 21          
BUSINESS COUNCIL FOR SUSTAINABLE,F 16          
emissions from international aviation,F 13          
COP-6 President Jan Pronk,F 10          
Chair Asadi,F 19          
Chair Chow,F 19          
Czech Republic,F 19          
FOURTH NATIONAL,F 19          
IPCC Good Practice Guidance,F 10          
IPCC TAR::SYN::IPCC Third Assessment Report,F 19          
JI and::SYN::joint implementation and,F 19          
Murray Ward,F 18          
Pronk text,F 19          
Wednesday morning,F 19          
afternoon session,F 19          
clean technologies,F 19          
ministerial consultations,F 19          
property rights,F 19          
future actions,F 19          
Further Commitments for Annex,F 14          
draft SBI,F 19          
constituted bodies,F 19          
next week,F 19          
balanced package,F 19          
special circumstances,F 19          
IPCC Chair,F 20          
President Espinosa,F 28          
CLIMATE JUSTICE NOW,F 11          
Climate Technology Initiative::SYN::CTI,F 11          
FEDERATED STATES OF MICRONESIA,F 12          
JI Supervisory Committee::SYN::joint implementation Supervisory Committee,F 12          
UN General Assembly,F 12          
World Trade Organization::SYN::WTO,F 12          
climate change process,F 11          
developing and developed countries,F 12          
early warning systems,F 12          
further informal consultations,F 12          
implementation of Convention Article,F 12          
introduced draft conclusions,F 12          
second national communications,F 12          
technology transfer mechanism::SYN::TTM,F 12          
President Special Representative,F 15          
CDM project activities::SYN::Clean Development Mechanism project activities,F 12          
Cancun Agreements,F 18          
Doha Amendment,F 17          
Thursday morning,F 18          
first week,F 18          
roster of experts,F 18          
ultimate objective,F 18          
mitigation by developed countries,F 12          
Ould El Ghaouth,F 13          
risk management,F 18          
temperature rise,F 18          
CLIMATE JUSTICE,F 19          
long-term cooperation,F 18          
further guidance,F 18          
progress reports,F 18          
spin-off group on numbers,F 12          
subsequent commitment periods,F 13          
Trust Fund,F 18          
interim arrangements,F 20          
Co-Chairs draft,F 18          
UNFCCC Executive Secretary Joke Waller-Hunter,F 7           
BUSINESS COUNCIL FOR SUSTAINABLE DEVELOPMENT,F 8           
BUSINESS COUNCIL FOR SUSTAINABLE ENERGY,F 8           
Biological Diversity,F 17          
Chair Benrageb,F 16          
Co-Chair Dovland,F 16          
DOMINICAN REPUBLIC,F 16          
EU Emissions Trading Scheme::SYN::EUROPEAN UNION Emissions Trading Scheme,F 8           
FCCC implementation,F 17          
Fuel Used,F 16          
MOP-1 decision,F 16          
Protocol mechanisms,F 17          
Protocol second commitment period,F 8           
REPORT ON CARBON DIOXIDE CAPTURE,F 11          
WORLD BUSINESS COUNCIL FOR SUSTAINABLE,F 8           
contact group on capacity building,F 8           
country delegates,F 16          
document FCCC,F 17          
further negotiations,F 17          
global goal for emission reductions,F 9           
global warming,F 17          
guidelines under Article,F 17          
informal negotiations,F 17          
later stage,F 17          
prompt start,F 17          
proposed amendments,F 17          
registry systems under Protocol Article,F 8           
sought clarification,F 17          
Saturday evening,F 17          
regional workshops,F 17          
side event,F 17          
further progress,F 17          
financial assistance,F 17          
negotiating process,F 17          
Contact group Co-Chair,F 11          
Delegates also discussed,F 11          
Millennium Development Goals::SYN::MDGs,F 11          
Parties also considered,F 11          
Yvo de Boer,F 14          
afternoon and evening sessions,F 10          
ambitious emission reductions,F 11          
assistance to developing countries,F 11          
capacity building needs,F 11          
developed country commitments,F 11          
fifth national communications,F 10          
finance and technology transfer,F 12          
multilateral environmental agreements::SYN::MEAs,F 11          
reducing greenhouse gas,F 11          
scientific and methodological aspects,F 11          
equitable distribution,F 17          
common accounting rules,F 11          
Chair Kumarsingh,F 18          
climate change regime,F 11          
national communications from non-Annex,F 11          
Chair John,F 17          
El Ghaouth,F 18          
reduction objectives,F 17          
text paragraph-by-paragraph,F 17          
supplementary information,F 17          
capacity building for developing countries,F 9           
ADP Co-Chair,F 17          
UN bodies and specialized agencies,F 9           
Bella Center,F 16          
Criteria for Joint,F 15          
EL SALVADOR,F 16          
General Assembly,F 16          
Helen Plume,F 16          
IPCC report,F 16          
SBI contact,F 16          
Saturday afternoon,F 16          
Tuesday afternoon,F 16          
UNFCCC Secretariat,F 16          
action on climate,F 16          
common metrics,F 16          
compliance procedures,F 16          
country to country,F 15          
emission levels,F 16          
encouraged parties,F 16          
post-2012 period,F 15          
preambular paragraphs,F 16          
sound technologies,F 16          
submissions from parties,F 16          
taking into account,F 16          
textual proposals,F 16          
time frames,F 16          
enabling activities,F 16          
procedural issues,F 16          
Article 10,F 16          
adaptation technologies,F 16          
Chair Plume,F 16          
performance indicators,F 16          
negotiating tracks,F 19          
Chair draft,F 16          
Climate Technology,F 16          
equitable distribution of CDM projects::SYN::equitable distribution of Clean Development Mechanism projects,F 9           
amalgamation document,F 16          
package deal,F 16          
emissions inventories,F 16          
Delegates then considered,F 10          
MOP President Espinosa,F 9           
SBI Chair Chruszczow,F 9           
SBI agenda items,F 10          
Secretariat introduced documents,F 9           
accounting of assigned amounts,F 10          
activities under Protocol Article,F 10          
bracketed draft decision,F 10          
climate change mitigation,F 10          
developed countries and countries,F 9           
emission reduction units,F 10          
emissions-reduction projects between Annex,F 9           
joint COP and::SYN::joint Conference of Parties and,F 9           
market and non-market approaches,F 9           
precautionary and prompt action,F 9           
sea level rise,F 10          
sixth national communications,F 10          
vulnerable developing countries,F 10          
IPCC guidelines,F 16          
Contact group Chair,F 10          
ARRANGEMENTS FOR INTERGOVERNMENTAL,F 14          
BASKET OF METHODOLOGICAL,F 14          
Delhi Declaration,F 15          
Informal high-level Plenary sessions,F 7           
President Kibwana,F 14          
Thursday evening,F 15          
UN Convention to Combat Desertification,F 8           
UN Secretary-General Kofi Annan,F 8           
UNFCCC as Annex I Parties,F 7           
adverse effects and response measures,F 8           
concrete action,F 15          
developed and developing country mitigation,F 7           
draft SBSTA,F 15          
draft decision on technology transfer,F 7           
existing institutions,F 15          
further discussions,F 15          
greenhouse gas inventory data,F 8           
impact assessments,F 15          
implementing agencies,F 15          
incremental costs,F 15          
interested Parties,F 15          
ministerial meeting,F 15          
next session,F 14          
possible elements,F 15          
pre-2020 ambition,F 15          
presented draft,F 15          
quantified emission reduction commitment,F 7           
reducing greenhouse gas emissions,F 8           
reporting requirements,F 15          
round tables,F 15          
small drafting,F 15          
specific targets,F 15          
spillover effects,F 15          
Kyoto Protocol second commitment period,F 6           
SBSTA Chair Kok Kee Chow,F 6           
CENTRAL AFRICAN,F 15          
preparation of national communications,F 10          
Protocol commitments,F 15          
common accounting,F 15          
GEF replenishment::SYN::Global Environment Facility replenishment,F 15          
full implementation,F 15          
atmospheric concentrations,F 21          
COUNCIL FOR SUSTAINABLE,F 17          
GEF report::SYN::Global Environment Facility report,F 15          
future sessions,F 15          
Article 12,F 15          
BUSINESS COUNCIL,F 19          
practices in policies and measures,F 10          
ADP open-ended consultations,F 10          
AIJ pilot::SYN::activities implemented jointly pilot,F 14          
Co-Chair Kumarsingh,F 13          
Co-Chair Slade,F 13          
Friday morning,F 14          
Jim Penman,F 14          
MOP plenary,F 14          
Mahmoud Ould El Ghaouth,F 8           
Monday evening,F 14          
Philip Gwage,F 13          
Saturday morning,F 14          
Thelma Krug,F 13          
action on adaptation,F 14          
annual inventories,F 14          
carbon sequestration,F 14          
combating climate,F 14          
common ground,F 14          
consultative mechanism,F 14          
core budget,F 13          
emissions trends,F 14          
expert meeting,F 14          
further action,F 14          
high-level officials,F 14          
improved guidelines,F 14          
invited comments,F 14          
public finance,F 14          
raised concerns,F 14          
second meeting,F 14          
submissions by Parties,F 14          
substantive discussions,F 14          
thirteenth sessions,F 13          
dioxide emissions,F 14          
socioeconomic aspects,F 14          
ADAPTATION AND MEANS OF IMPLEMENTATION,F 8           
AOSIS draft protocol::SYN::Alliance of Small Island States draft protocol,F 8           
Berlin Mandate process,F 8           
Buenos Aires programme,F 22          
Delhi work programme,F 9           
PROPOSALS UNDER CONVENTION ARTICLE,F 9           
PROPOSALS UNDER CONVENTION ARTICLE 17,F 8           
Report on carbon dioxide,F 11          
SBI Chair Owen-Jones,F 8           
Saudi Arabia and Kuwait,F 8           
UNFCCC subsidiary bodies,F 8           
actions by developing countries,F 9           
biennial update reports,F 9           
capacity building framework,F 8           
commitments by developed countries,F 9           
developing country participation,F 9           
exception of draft rule,F 8           
impacts on developing countries,F 9           
informal ministerial consultations,F 9           
key outstanding issues,F 9           
late payment of contributions,F 8           
support for developing countries,F 9           
support to developing countries,F 13          
single projects,F 14          
small-scale afforestation and reforestation,F 9           
Environment and Natural Resources,F 9           
consolidated negotiating text,F 9           
privileges and immunities for individuals,F 9           
Leon Charles,F 14          
mechanisms for technology transfer,F 9           
AIJ projects::SYN::activities implemented jointly projects,F 13          
Annex I greenhouse gas,F 8           
Audun Rosland,F 12          
CDM EXECUTIVE BOARD REPORT::SYN::Clean Development Mechanism EXECUTIVE BOARD REPORT,F 6           
CDM for other environmental treaties::SYN::Clean Development Mechanism for other environmental treaties,F 6           
Chair Kok Kee Chow,F 7           
Climate Change Conference in Copenhagen,F 7           
Co-Chair Ashe,F 12          
European Community::SYN::EC,F 12          
OECD countries,F 13          
PROGRESS ON IMPLEMENTATION OF DECISION,F 6           
President Hedegaard,F 23          
Protocol first commitment period,F 6           
SRI LANKA,F 13          
Soobaraj Nayroo Sok Appadu,F 6           
Thursday afternoon,F 13          
Thursday night,F 13          
Tuesday morning,F 13          
adaptation funding,F 13          
afternoon contact,F 12          
ambition gap,F 14          
anthropogenic interference,F 13          
asked delegates,F 12          
bracketed draft,F 13          
commitments under Article,F 13          
compliance body,F 13          
continued discussions,F 13          
decision package,F 12          
draft decision on Agenda Item,F 6           
energy sector,F 13          
first and second commitment periods,F 6           
further implementation,F 13          
greenhouse gas emissions reduction,F 7           
immediate action,F 13          
informal Plenary,F 13          
intergovernmental process,F 12          
joint contact,F 13          
long-term goal,F 16          
mitigation ambition,F 13          
mitigation measures,F 13          
next contact group meeting,F 6           
next meeting,F 12          
nuclear energy,F 13          
ongoing consultations,F 13          
political agreement,F 12          
revised draft COP decision::SYN::revised draft Conference of Parties decision,F 7           
significant progress,F 13          
small-scale projects,F 13          
strategic programme on technology transfer,F 6           
two-track approach,F 13          
welcoming ceremony,F 12          
early warning,F 13          
gas concentrations,F 13          
GHG reduction,F 13          
COP 3 in Kyoto::SYN::Conference of Parties 3 in Kyoto,F 10          
SBI plenary,F 13          
removals by sinks,F 14          
activities under Article,F 13          
SUSTAINABLE ENERGY,F 13          
operative paragraphs,F 13          
plenary meetings,F 13          
impact of single projects,F 10          
national development,F 13          
CAPACITY BUILDING UNDER THE PROTOCOL,F 5           
INDIGENOUS PEOPLES FORUM ON CLIMATE,F 5           
OPEN-ENDED CONSULTATIONS ON BOTH WORKSTREAMS,F 5           
annual compilation and accounting,F 9           
technical experts,F 13          
second week,F 13          
AWG Chair Charles,F 7           
AWG-KP Chair Ashe,F 8           
AWG-LCA Chair text,F 7           
Annexes I and II,F 8           
DEVELOPMENT & TRANSFER OF TECHNOLOGIES,F 7           
Delegates then discussed,F 8           
INDIA and SAUDI ARABIA,F 7           
LDC work programme::SYN::least developed countries work programme,F 7           
MOP high-level segment,F 8           
SBSTA Chair Konate,F 7           
SBSTA work programme,F 8           
UNFCCC and Kyoto Protocol,F 8           
adaptation and technology transfer,F 8           
adverse effects and guidance,F 7           
business consultative mechanism,F 7           
clean development fund,F 8           
compliance and Protocol Articles,F 7           
developing country action,F 8           
draft work programme,F 7           
emission reductions by Annex,F 8           
exception of draft rule 42,F 7           
framework for capacity building,F 8           
global climate system,F 8           
global long-term goal,F 7           
informal consultations and contact,F 8           
information clearing house,F 8           
joint COP and COP::SYN::joint Conference of Parties and Conference of Parties,F 7           
joint annual report,F 7           
next commitment period,F 7           
structured expert dialogue,F 7           
African countries,F 12          
Brazilian proposal,F 12          
Chair Diouf,F 11          
Copenhagen Accord,F 12          
Kofi Annan,F 12          
PLENARY WAS,F 13          
SBI agenda,F 12          
State Secretary,F 12          
budget periods,F 12          
building activities,F 12          
commitments of Annex,F 12          
